name,mp_highrise2,mp_highrise2_underwater,mp_highrise2_osp,mp_highrise2_drone,mp_highrise2_warbird,mp_highrise2_interior
sunenable,1,0,0,0,0,1
sunshadowscale,0.25,1,1,1,1,1
sunshadowscale_time,0,1,0,0,0,0
spotlimit,4,4,4,4,4,4
qualityspotshadow,1,0,1,1,1,1
usedsuncascadecount,2,2,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0,0,0
sunfilterradius,8,4,4,4,4,8
sunfilterradius_time,0,0,0,0,0,0
spotfilterradius,2,4,4,4,4,2
spotfilterradius_time,0,0,0,0,0,0
specularcolorscale,1,0.2,1,1,1,1
specularcolorscale_time,0,0,0,0,0,0
diffusecolorscale,1,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0,0
veil,1,1,1,1,1,1
veilstrength,0.0760951,3,0.087,0.087,0.087,0.0760951
veilstrength_time,0,1,0,0,0,0
veilbackgroundstrength,0.913,0.913,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,1,0,0,0,0
tonemap,2,2,2,2,2,2
tonemapauto,1,1,1,1,1,1
tonemapblend,1,1,1,1,1,1
tonemaplockautoexposureadjust,0,1,0,0,0,0
tonemapautoexposureadjust,0,1,0,0,0,0
tonemapautoexposureadjust_time,0,1,0,0,0,0
tonemapexposure,-10,-10,-10,-10,-10,-10
tonemapexposure_time,0,2,0,0,0,0
tonemapexposureadjust,1,0,0,0,0,1
tonemapexposureadjust_time,0,2,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,2,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,2,0,0,0,0
tonemapdarkev,2.8401,6.1619,2.8401,2.8401,2.8401,2.8401
tonemapdarkev_time,0,2,0,0,0,0
tonemapmidev,7.823,9.4839,7.823,7.823,7.823,7.823
tonemapmidev_time,0,2,0,0,0,0
tonemaplightev,12.8058,12.8058,12.8058,12.8058,12.8058,12.8058
tonemaplightev_time,0,2,0,0,0,0
tonemapdarkexposureadjust,-4.6699,-3.1699,-3.1699,-3.1699,-3.1699,-4.6699
tonemapdarkexposureadjust_time,0,2,0,0,0,0
tonemapmidexposureadjust,-1.5651,-0.0651,-0.0651,-0.0651,-0.0651,-1.5651
tonemapmidexposureadjust_time,0,2,0,0,0,0
tonemaplightexposureadjust,1.4739,1.4739,1.4739,1.4739,1.4739,1.4739
tonemaplightexposureadjust_time,0,2,0,0,0,0
tonemapminexposureadjust,-5.2699,-3.1699,-3.1699,-3.1699,-3.1699,-5.2699
tonemapminexposureadjust_time,0,2,0,0,0,0
tonemapmaxexposureadjust,2.3219,2.3219,2.3219,2.3219,2.3219,2.3219
tonemapmaxexposureadjust_time,0,2,0,0,0,0
tonemapwhite,512,512,512,512,512,512
tonemapwhite_time,0,2,0,0,0,0
tonemapshoulder,0.94,0.92,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,2,0,0,0,0
tonemapcrossover,1,2,1,1,1,1
tonemapcrossover_time,0,2,0,0,0,0
tonemaptoe,0,0,0,0,0,0
tonemaptoe_time,0,0,0,0,0,0
tonemapblack,0,0,0,0,0,0
tonemapblack_time,0,0,0,0,0,0
aodiminish,1,1,1,1,1,1
aodiminish_time,0,0,0,0,0,0
ssaostrength,0.7,1,0,0,0,0.7
ssaostrength_time,0,1,0,0,0,0
ssaopower,10,0.5,0,0,0,10
ssaopower_time,0,1,0,0,0,0
ssaominstrengthdepth,25,0,25,25,25,25
ssaominstrengthdepth_time,0,1,0,0,0,0
ssaomaxstrengthdepth,40,50,40,40,40,40
ssaomaxstrengthdepth_time,0,1,0,0,0,0
hemiaostrength,0.5,0.5,0.5,0.5,0.5,0.5
hemiaostrength_time,0,0,0,0,0,0
hemiaopower,1,1,1,1,1,1
hemiaopower_time,0,0,0,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,0,0,0,0,0
mdao,1,0,0,0,0,1
mdaooccluderculldistance,1000,1000,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0,0
mdaocapsulestrength,0.5,1,1,1,1,0.5
mdaocapsulestrength_time,0,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0,0
